MACROREGION_NAME,CATEGORY,SHOP_SKU,MARKET_SKU,OFFER_NAME,LENGTH,WIDTH,HEIGHT,VOLUME,TURNOVER,AMOUNT,MARKET_RECOMMENDATION,AVG_SOLD_VOLUME,AVG_SOLD_ITEMS,AVG_SOLD_VOLUME_ON_STOCK,ITEMS_ON_STOCK,_LOADED_AT,_SOURCE_FILE
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-003,100632289495,Hoodie #3,350,250,40,3.5,9300.0,-,,0.056452,0.016129,525,150,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-004,100189397364,Hoodie #4,350,250,40,3.5,2712.5,-,,0.225806,0.064516,612,175,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-004,100189397364,Hoodie #4,350,250,40,3.5,2046.0,-,,0.225806,0.064516,462,132,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-005,100837022690,Hoodie #5,350,250,40,3.5,1844.5,-,,0.225806,0.064516,416,119,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-005,100837022690,Hoodie #5,350,250,40,3.5,2356.0,-,,0.225806,0.064516,532,152,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-006,100833949272,Hoodie #6,350,250,40,3.5,1725.666667,-,,0.33871,0.096774,584,167,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-006,100833949272,Hoodie #6,350,250,40,3.5,620.0,-,,0.33871,0.096774,210,60,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-007,100756888782,Hoodie #7,350,250,40,3.5,1232.25,-,,0.451613,0.129032,556,159,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-007,100756888782,Hoodie #7,350,250,40,3.5,899.0,-,,0.451613,0.129032,406,116,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-008,100330810719,Hoodie #8,350,250,40,3.5,936.2,-,,0.564516,0.16129,528,151,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-008,100330810719,Hoodie #8,350,250,40,3.5,892.8,-,,0.564516,0.16129,504,144,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-001,100962765858,Cap #1,350,250,40,3.5,2697.0,-,,0.225806,0.064516,609,174,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-001,100962765858,Cap #1,350,250,40,3.5,1488.0,-,,0.225806,0.064516,336,96,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-002,100966756760,Cap #2,350,250,40,3.5,669.6,-,,0.564516,0.16129,378,108,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-002,100966756760,Cap #2,350,250,40,3.5,706.8,-,,0.564516,0.16129,399,114,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-003,100037577486,Cap #3,350,250,40,3.5,10044.0,-,,0.056452,0.016129,567,162,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-003,100037577486,Cap #3,350,250,40,3.5,6138.0,-,,0.056452,0.016129,346,99,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-004,100623141549,Cap #4,350,250,40,3.5,856.727273,-,,0.620968,0.177419,532,152,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-004,100623141549,Cap #4,350,250,40,3.5,569.272727,-,,0.620968,0.177419,354,101,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-005,100948856891,Cap #5,350,250,40,3.5,581.25,-,,0.451613,0.129032,262,75,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-005,100948856891,Cap #5,350,250,40,3.5,821.5,-,,0.451613,0.129032,371,106,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-001,100287596370,Accessorie #1,350,250,40,3.5,6014.0,-,,0.056452,0.016129,340,97,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-001,100287596370,Accessorie #1,350,250,40,3.5,10230.0,-,,0.056452,0.016129,578,165,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-002,100284654312,Accessorie #2,350,250,40,3.5,537.333333,-,,0.33871,0.096774,182,52,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-002,100284654312,Accessorie #2,350,250,40,3.5,826.666667,-,,0.33871,0.096774,280,80,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-003,100280958590,Accessorie #3,350,250,40,3.5,688.888889,-,,0.508065,0.145161,350,100,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-003,100280958590,Accessorie #3,350,250,40,3.5,1040.222222,-,,0.508065,0.145161,528,151,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-004,100632545757,Accessorie #4,350,250,40,3.5,1457.0,-,,0.33871,0.096774,494,141,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-004,100632545757,Accessorie #4,350,250,40,3.5,1188.333333,-,,0.33871,0.096774,402,115,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-005,100373922635,Accessorie #5,350,250,40,3.5,1508.666667,-,,0.33871,0.096774,511,146,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-005,100373922635,Accessorie #5,350,250,40,3.5,1653.333333,-,,0.33871,0.096774,560,160,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-001,100994134931,T-Shirt #1,350,250,40,3.5,1309.0,-,,0.5,0.142857,654,187,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-001,100994134931,T-Shirt #1,350,250,40,3.5,861.0,-,,0.5,0.142857,430,123,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-002,100023731241,T-Shirt #2,350,250,40,3.5,715.076923,-,,0.8125,0.232143,581,166,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-002,100023731241,T-Shirt #2,350,250,40,3.5,650.461538,-,,0.8125,0.232143,528,151,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-003,100563929279,T-Shirt #3,350,250,40,3.5,4293.333333,-,,0.1875,0.053571,805,230,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-003,100563929279,T-Shirt #3,350,250,40,3.5,4125.333333,-,,0.1875,0.053571,774,221,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-004,100112648476,T-Shirt #4,350,250,40,3.5,7672.0,-,,0.0625,0.017857,480,137,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-004,100112648476,T-Shirt #4,350,250,40,3.5,5152.0,-,,0.0625,0.017857,322,92,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-005,100907478922,T-Shirt #5,350,250,40,3.5,5740.0,-,,0.125,0.035714,718,205,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-005,100907478922,T-Shirt #5,350,250,40,3.5,6692.0,-,,0.125,0.035714,836,239,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-006,100904405552,T-Shirt #6,350,250,40,3.5,2296.0,-,,0.25,0.071429,574,164,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-006,100904405552,T-Shirt #6,350,250,40,3.5,1974.0,-,,0.25,0.071429,494,141,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-007,100680139942,T-Shirt #7,350,250,40,3.5,901.6,-,,0.625,0.178571,564,161,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-007,100680139942,T-Shirt #7,350,250,40,3.5,890.4,-,,0.625,0.178571,556,159,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-008,100251702583,T-Shirt #8,350,250,40,3.5,914.666667,-,,0.9375,0.267857,858,245,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-008,100251702583,T-Shirt #8,350,250,40,3.5,657.066667,-,,0.9375,0.267857,616,176,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-009,100013765025,T-Shirt #9,350,250,40,3.5,941.818182,-,,0.6875,0.196429,648,185,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-009,100013765025,T-Shirt #9,350,250,40,3.5,778.909091,-,,0.6875,0.196429,536,153,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-010,100415241284,T-Shirt #10,350,250,40,3.5,382.0,-,,1.75,0.5,668,191,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-010,100415241284,T-Shirt #10,350,250,40,3.5,244.0,-,,1.75,0.5,427,122,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-011,100875322066,T-Shirt #11,350,250,40,3.5,1344.0,-,,0.5625,0.160714,756,216,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-011,100875322066,T-Shirt #11,350,250,40,3.5,1088.888889,-,,0.5625,0.160714,612,175,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-012,100140725608,T-Shirt #12,350,250,40,3.5,656.444444,-,,1.125,0.321429,738,211,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-012,100140725608,T-Shirt #12,350,250,40,3.5,311.111111,-,,1.125,0.321429,350,100,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-001,100915290107,Hoodie #1,350,250,40,3.5,703.111111,-,,0.5625,0.160714,396,113,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-001,100915290107,Hoodie #1,350,250,40,3.5,759.111111,-,,0.5625,0.160714,427,122,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-002,100944886337,Hoodie #2,350,250,40,3.5,2968.0,-,,0.1875,0.053571,556,159,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-002,100944886337,Hoodie #2,350,250,40,3.5,2202.666667,-,,0.1875,0.053571,413,118,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-003,100632289495,Hoodie #3,350,250,40,3.5,2262.4,-,,0.3125,0.089286,707,202,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-003,100632289495,Hoodie #3,350,250,40,3.5,2195.2,-,,0.3125,0.089286,686,196,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-004,100189397364,Hoodie #4,350,250,40,3.5,854.933333,-,,0.9375,0.267857,802,229,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-004,100189397364,Hoodie #4,350,250,40,3.5,713.066667,-,,0.9375,0.267857,668,191,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-005,100837022690,Hoodie #5,350,250,40,3.5,4144.0,-,,0.125,0.035714,518,148,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-005,100837022690,Hoodie #5,350,250,40,3.5,5852.0,-,,0.125,0.035714,732,209,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-006,100833949272,Hoodie #6,350,250,40,3.5,2814.0,-,,0.25,0.071429,704,201,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-006,100833949272,Hoodie #6,350,250,40,3.5,1596.0,-,,0.25,0.071429,399,114,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-007,100756888782,Hoodie #7,350,250,40,3.5,1386.0,-,,0.5,0.142857,693,198,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-007,100756888782,Hoodie #7,350,250,40,3.5,1323.0,-,,0.5,0.142857,662,189,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-008,100330810719,Hoodie #8,350,250,40,3.5,1246.0,-,,0.5,0.142857,623,178,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-008,100330810719,Hoodie #8,350,250,40,3.5,1218.0,-,,0.5,0.142857,609,174,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-001,100962765858,Cap #1,350,250,40,3.5,2324.0,-,,0.375,0.107143,872,249,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-001,100962765858,Cap #1,350,250,40,3.5,1297.333333,-,,0.375,0.107143,486,139,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-002,100966756760,Cap #2,350,250,40,3.5,1281.0,-,,0.5,0.142857,640,183,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-002,100966756760,Cap #2,350,250,40,3.5,1267.0,-,,0.5,0.142857,634,181,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-003,100037577486,Cap #3,350,250,40,3.5,2940.0,-,,0.25,0.071429,735,210,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-003,100037577486,Cap #3,350,250,40,3.5,2142.0,-,,0.25,0.071429,536,153,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-004,100623141549,Cap #4,350,250,40,3.5,1130.181818,-,,0.6875,0.196429,777,222,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-004,100623141549,Cap #4,350,250,40,3.5,865.454545,-,,0.6875,0.196429,595,170,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",CAP-005,100948856891,Cap #5,350,250,40,3.5,493.5,-,,1.0,0.285714,494,141,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",CAP-005,100948856891,Cap #5,350,250,40,3.5,623.0,-,,1.0,0.285714,623,178,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-001,100287596370,Accessorie #1,350,250,40,3.5,Нет продаж,-,,0.0,0.0,476,136,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-001,100287596370,Accessorie #1,350,250,40,3.5,Нет продаж,-,,0.0,0.0,780,223,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-002,100284654312,Accessorie #2,350,250,40,3.5,2828.0,-,,0.125,0.035714,354,101,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-002,100284654312,Accessorie #2,350,250,40,3.5,3080.0,-,,0.125,0.035714,385,110,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-003,100280958590,Accessorie #3,350,250,40,3.5,852.444444,-,,0.5625,0.160714,480,137,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-003,100280958590,Accessorie #3,350,250,40,3.5,1157.333333,-,,0.5625,0.160714,651,186,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Москва,"Одежда, обувь и аксессуары",ACC-004,100632545757,Accessorie #4,350,250,40,3.5,1170.4,-,,0.625,0.178571,732,209,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",ACC-004,100632545757,Accessorie #4,350,250,40,3.5,1058.4,-,,0.625,0.178571,662,189,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-02-28/turnover.csv
