ORDER_ID,ORDER_STATUS,CREATION_DATE,ORDER_TYPE,SUMMARY_COMMISSION,SUM_BILLING_PRICE_OF_ITEMS,INCOME_WITHOUT_SERVICES,BUYER_PAYMENT,BUYER_PAYMENT_STATUS,SALE_COMMISSION,BUYER_DELIVERY,CROSSREGIONAL_DELIVERY,BUYER_PAYMENT_ACCEPT,BUYER_PAYMENT_TRANSFER,LOYALTY_PROGRAM,BOOST,INSTALLMENT,WAREHOUSE_PROCESSING,_LOADED_AT,_SOURCE_FILE
ORD-100085,Delivered,22.01.2025,Sale to individual,1570.27,6462.0,4891.73,6462.0,Transferred,969.3,323.1,64.62,32.31,51.7,129.24,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100087,Delivered,23.01.2025,Sale to individual,1666.74,6859.0,5192.26,6859.0,Transferred,1028.85,342.95,68.59,34.3,54.87,137.18,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100088,Delivered,23.01.2025,Sale to individual,975.77,4015.5,3039.73,4015.5,Transferred,602.32,200.78,40.16,20.08,32.12,80.31,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100089,Delivered,24.01.2025,Sale to individual,842.24,3466.0,2623.76,3466.0,Transferred,519.9,173.3,34.66,17.33,27.73,69.32,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100090,Delivered,24.01.2025,Sale to individual,1892.97,7790.0,5897.03,7790.0,Transferred,1168.5,389.5,77.9,38.95,62.32,155.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100091,Delivered,24.01.2025,Sale to individual,639.58,2632.0,1992.42,2632.0,Transferred,394.8,131.6,26.32,13.16,21.06,52.64,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100093,Full return accepted at warehouse,24.01.2025,Sale to individual,2363.3,9725.5,7362.2,9725.5,Transferred,1458.83,486.28,97.25,48.63,77.8,194.51,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100094,Delivered,25.01.2025,Sale to individual,815.76,3357.0,2541.24,3357.0,Transferred,503.55,167.85,33.57,16.79,26.86,67.14,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100095,Delivered,25.01.2025,Sale to individual,575.91,2370.0,1794.09,2370.0,Transferred,355.5,118.5,23.7,11.85,18.96,47.4,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100096,Delivered,25.01.2025,Sale to individual,612.36,2520.0,1907.64,2520.0,Transferred,378.0,126.0,25.2,12.6,20.16,50.4,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100097,Delivered,25.01.2025,Sale to individual,4004.39,16479.0,12474.61,16479.0,Transferred,2471.85,823.95,164.79,82.39,131.83,329.58,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100098,Delivered,26.01.2025,Sale to individual,2153.7,8863.0,6709.3,8863.0,Transferred,1329.45,443.15,88.63,44.31,70.9,177.26,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100099,Delivered,26.01.2025,Sale to individual,581.74,2394.0,1812.26,2394.0,Transferred,359.1,119.7,23.94,11.97,19.15,47.88,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100100,Delivered,26.01.2025,Sale to individual,437.4,1800.0,1362.6,1800.0,Transferred,270.0,90.0,18.0,9.0,14.4,36.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100101,Delivered,27.01.2025,Sale to individual,437.4,1800.0,1362.6,1800.0,Transferred,270.0,90.0,18.0,9.0,14.4,36.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100102,Delivered,27.01.2025,Sale to individual,4450.19,18313.5,13863.31,18313.5,Transferred,2747.03,915.68,183.13,91.57,146.51,366.27,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100103,Delivered,27.01.2025,Sale to individual,2340.7,9632.5,7291.8,9632.5,Transferred,1444.88,481.62,96.33,48.16,77.06,192.65,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100104,Delivered,28.01.2025,Sale to individual,1707.07,7025.0,5317.93,7025.0,Transferred,1053.75,351.25,70.25,35.12,56.2,140.5,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100105,Delivered,28.01.2025,Sale to individual,754.76,3106.0,2351.24,3106.0,Transferred,465.9,155.3,31.06,15.53,24.85,62.12,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100106,Delivered,28.01.2025,Sale to individual,1224.72,5040.0,3815.28,5040.0,Transferred,756.0,252.0,50.4,25.2,40.32,100.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100108,Delivered,29.01.2025,Sale to individual,1119.63,4607.5,3487.87,4607.5,Transferred,691.12,230.38,46.08,23.04,36.86,92.15,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100109,Delivered,29.01.2025,Sale to individual,1055.48,4343.5,3288.02,4343.5,Transferred,651.52,217.18,43.44,21.72,34.75,86.87,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100110,Delivered,29.01.2025,Sale to individual,646.38,2660.0,2013.62,2660.0,Transferred,399.0,133.0,26.6,13.3,21.28,53.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100111,Delivered,29.01.2025,Sale to individual,646.38,2660.0,2013.62,2660.0,Transferred,399.0,133.0,26.6,13.3,21.28,53.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100112,Delivered,30.01.2025,Sale to individual,461.46,1899.0,1437.54,1899.0,Transferred,284.85,94.95,18.99,9.5,15.19,37.98,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100113,Delivered,30.01.2025,Sale to individual,1645.36,6771.0,5125.64,6771.0,Transferred,1015.65,338.55,67.71,33.86,54.17,135.42,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100114,Delivered,31.01.2025,Sale to individual,1813.14,7461.5,5648.36,7461.5,Transferred,1119.22,373.08,74.61,37.31,59.69,149.23,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100115,Delivered,01.02.2025,Sale to individual,1373.44,5652.0,4278.56,5652.0,Transferred,847.8,282.6,56.52,28.26,45.22,113.04,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100116,Delivered,01.02.2025,Sale to individual,1360.8,5600.0,4239.2,5600.0,Transferred,840.0,280.0,56.0,28.0,44.8,112.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100117,Delivered,01.02.2025,Sale to individual,1375.62,5661.0,4285.38,5661.0,Transferred,849.15,283.05,56.61,28.3,45.29,113.22,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100118,Delivered,01.02.2025,Sale to individual,408.24,1680.0,1271.76,1680.0,Transferred,252.0,84.0,16.8,8.4,13.44,33.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100119,Delivered,01.02.2025,Sale to individual,402.77,1657.5,1254.73,1657.5,Transferred,248.62,82.88,16.57,8.29,13.26,33.15,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100120,Delivered,01.02.2025,Sale to individual,1987.74,8180.0,6192.26,8180.0,Transferred,1227.0,409.0,81.8,40.9,65.44,163.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100121,Delivered,01.02.2025,Sale to individual,947.7,3900.0,2952.3,3900.0,Transferred,585.0,195.0,39.0,19.5,31.2,78.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100122,Delivered,01.02.2025,Sale to individual,984.15,4050.0,3065.85,4050.0,Transferred,607.5,202.5,40.5,20.25,32.4,81.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100123,Delivered,02.02.2025,Sale to individual,680.4,2800.0,2119.6,2800.0,Transferred,420.0,140.0,28.0,14.0,22.4,56.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100124,Delivered,02.02.2025,Sale to individual,505.55,2080.5,1574.95,2080.5,Transferred,312.07,104.03,20.8,10.4,16.64,41.61,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100125,Delivered,03.02.2025,Sale to individual,1163.48,4788.0,3624.52,4788.0,Transferred,718.2,239.4,47.88,23.94,38.3,95.76,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100126,Delivered,03.02.2025,Sale to individual,289.17,1190.0,900.83,1190.0,Transferred,178.5,59.5,11.9,5.95,9.52,23.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100127,Delivered,04.02.2025,Sale to individual,653.92,2691.0,2037.08,2691.0,Transferred,403.65,134.55,26.91,13.46,21.53,53.82,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100129,Delivered,04.02.2025,Sale to individual,1455.57,5990.0,4534.43,5990.0,Transferred,898.5,299.5,59.9,29.95,47.92,119.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100131,Delivered,04.02.2025,Sale to individual,578.34,2380.0,1801.66,2380.0,Transferred,357.0,119.0,23.8,11.9,19.04,47.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100132,Delivered,04.02.2025,Sale to individual,244.94,1008.0,763.06,1008.0,Transferred,151.2,50.4,10.08,5.04,8.06,20.16,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100133,Delivered,04.02.2025,Sale to individual,347.0,1428.0,1081.0,1428.0,Transferred,214.2,71.4,14.28,7.14,11.42,28.56,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100135,Delivered,05.02.2025,Sale to individual,2286.63,9410.0,7123.37,9410.0,Transferred,1411.5,470.5,94.1,47.05,75.28,188.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100136,Delivered,05.02.2025,Sale to individual,2643.35,10878.0,8234.65,10878.0,Transferred,1631.7,543.9,108.78,54.39,87.02,217.56,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100137,Delivered,05.02.2025,Sale to individual,489.89,2016.0,1526.11,2016.0,Transferred,302.4,100.8,20.16,10.08,16.13,40.32,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100138,Delivered,05.02.2025,Sale to individual,489.53,2014.5,1524.97,2014.5,Transferred,302.18,100.73,20.14,10.07,16.12,40.29,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
